Viewing,Participant,Congruency,Alignment,FaceGroup,WithCatch,isCorrect,reactionTime,ExpCode,RT.Z,View_D,Con_D,Ali_D,View_Con,View_Ali,Con_Ali,View_Con_Ali
CFS,603,congruent,misaligned,F1,FALSE,1,0.085529573,E1,-0.11389236717129413,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,M5,FALSE,1,0.070943328,E1,-0.5793914163260169,0,1,0,0,0,0,0
CFS,603,congruent,aligned,F4,FALSE,1,6.0287e-4,E1,-1.034559689355312,0,0,0,0,0,0,0
monocular,603,congruent,aligned,F5,FALSE,1,0.420246109,E1,3.880376272586924,1,0,0,0,0,0,0
monocular,603,congruent,misaligned,F3,FALSE,1,0.075959263,E1,0.16833903603616382,1,0,1,0,1,0,0
monocular,603,congruent,aligned,F1,FALSE,1,0.080756222,E1,0.18240141776233035,1,0,0,0,0,0,0
monocular,603,congruent,misaligned,F3,FALSE,1,0.245802062,E1,2.423227716145094,1,0,1,0,1,0,0
monocular,603,congruent,aligned,M2,FALSE,1,0.055923577,E1,-0.08809411186970752,1,0,0,0,0,0,0
monocular,603,congruent,aligned,F2,FALSE,1,0.150605009,E1,0.9432460492432058,1,0,0,0,0,0,0
monocular,603,incongruent,aligned,M3,FALSE,1,0.085398871,E1,0.34893227615005845,1,1,0,1,0,0,0
monocular,603,congruent,aligned,F2,FALSE,1,0.080945432,E1,0.18446243297684642,1,0,0,0,0,0,0
monocular,603,congruent,misaligned,F4,FALSE,1,0.080901295,E1,0.2339510730441979,1,0,1,0,1,0,0
monocular,603,incongruent,aligned,M1,FALSE,1,6.00817e-4,E1,-0.7290219830653956,1,1,0,1,0,0,0
monocular,603,congruent,aligned,F3,FALSE,1,0.171351001,E1,1.1692267328869344,1,0,0,0,0,0,0
monocular,603,incongruent,aligned,M4,FALSE,1,6.4996e-4,E1,-0.7283972764399272,1,1,0,1,0,0,0
monocular,603,incongruent,aligned,M3,FALSE,1,0.300489789,E1,3.083171568677479,1,1,0,1,0,0,0
monocular,603,congruent,aligned,F5,FALSE,1,0.195480868,E1,1.4320670849362482,1,0,0,0,0,0,0
monocular,603,congruent,aligned,F2,FALSE,1,6.01015e-4,E1,-0.690708360524704,1,0,0,0,0,0,0
monocular,603,congruent,misaligned,M3,FALSE,1,0.116535037,E1,0.7070363138598663,1,0,1,0,1,0,0
monocular,603,incongruent,aligned,F3,FALSE,1,0.170655065,E1,1.4327104185918536,1,1,0,1,0,0,0
monocular,603,incongruent,misaligned,M3,FALSE,1,6.15872e-4,E1,-0.7986141703324664,1,1,1,1,1,1,1
monocular,603,incongruent,aligned,F5,FALSE,1,5.92948e-4,E1,-0.7291220139230113,1,1,0,1,0,0,0
monocular,603,incongruent,misaligned,F5,FALSE,1,5.88842e-4,E1,-0.7990573357004551,1,1,1,1,1,1,1
monocular,603,incongruent,misaligned,F1,FALSE,1,0.006057786,E1,-0.7093922753871371,1,1,1,1,1,1,1
monocular,603,incongruent,misaligned,M1,FALSE,1,0.005520951,E1,-0.7181938543854411,1,1,1,1,1,1,1
monocular,603,incongruent,misaligned,M2,FALSE,1,5.91291e-4,E1,-0.7990171835736994,1,1,1,1,1,1,1
monocular,603,incongruent,misaligned,F3,FALSE,1,0.016291869,E1,-0.5416012595262139,1,1,1,1,1,1,1
monocular,603,incongruent,aligned,M3,FALSE,1,5.75156e-4,E1,-0.7293481861200757,1,1,0,1,0,0,0
monocular,603,congruent,aligned,M4,FALSE,1,0.010750389,E1,-0.5801538748642503,1,0,0,0,0,0,0
monocular,603,congruent,misaligned,M5,FALSE,0,5.71735e-4,E1,NaN,1,0,1,0,1,0,0
monocular,603,congruent,misaligned,M5,FALSE,1,0.006159747,E1,-0.7583422211744064,1,0,1,0,1,0,0
monocular,603,congruent,aligned,M3,FALSE,1,0.031326332,E1,-0.3560254906561395,1,0,0,0,0,0,0
monocular,603,incongruent,misaligned,F3,FALSE,1,6.18465e-4,E1,-0.7985716572803321,1,1,1,1,1,1,1
monocular,603,incongruent,aligned,M5,FALSE,1,6.93252e-4,E1,-0.7278469478228348,1,1,0,1,0,0,0
monocular,603,incongruent,aligned,F5,FALSE,1,0.061356595,E1,0.043306467621085726,1,1,0,1,0,0,0
monocular,603,congruent,misaligned,F1,FALSE,1,0.046361479,E1,-0.22461084756713945,1,0,1,0,1,0,0
monocular,603,incongruent,aligned,M2,FALSE,1,0.160493931,E1,1.303541915812781,1,1,0,1,0,0,0
monocular,603,incongruent,aligned,F4,FALSE,1,0.066075544,E1,0.10329382503816169,1,1,0,1,0,0,0
