ExpCode,Participant,CFS_Cover,WithCatch,CFS.congruent.aligned,CFS.congruent.misaligned,CFS.incongruent.aligned,CFS.incongruent.misaligned,monocular.congruent.aligned,monocular.congruent.misaligned,monocular.incongruent.aligned,monocular.incongruent.misaligned,CFS.inter,monocular.inter
E2,8224,both,1,683.7403386086957,701.3749057605634,679.9763876956522,664.9635960140845,741.2692700133333,719.56490075,775.4911206865671,698.4327963432836,-32.64735883343542,-55.3539550799502
E2,8225,both,1,643.8354646176471,686.6523136478874,642.7291890133333,689.7682771351351,592.4969304722222,581.6227493692307,673.6956292112676,571.0305824383562,4.222239091561505,-91.79086566991998
E2,8226,both,1,571.1567386111111,582.1408192264151,566.177566245614,550.3561892105263,577.0263598181818,559.1348759423078,600.4265515,540.82160015,-26.80545765039176,-41.71346747412588
E2,8227,both,1,781.7898669846154,846.4398176527777,899.4112076515152,837.8920139714286,762.1964999275363,708.9072586507937,789.87865759375,764.0514369682539,-126.16914434824889,27.462020651246576
E2,8228,both,1,519.6070171805555,538.4337471126761,581.3471220933333,574.0361939999999,587.69853684,590.8497493243243,650.2215911232877,646.7422566216217,-26.137658025453902,-6.63054698599035
E2,8229,both,1,777.160862047619,796.7576986190477,845.9693898125,802.1433055344828,702.2572597714286,665.9311824626866,722.2509705820895,696.8481795,-63.42292084944586,10.923286226652522
E2,8230,both,1,825.4820017887324,784.7076131940298,985.3116103802816,887.1081313142856,857.7341556470587,793.0725005441176,812.4129617424243,872.9400537580646,-57.42909047129342,125.18874711858143
E2,8231,both,1,863.9757319444444,808.9143060882353,858.8818630684931,840.4145179701492,736.868646378788,697.8132264264706,773.8589202923077,689.006755890625,36.594080757865186,-45.796744449365406
E2,8233,both,1,547.6336153239436,555.1982076805555,556.7588936285714,565.4789047910448,478.5079941971831,493.17573008450705,494.87886601538463,497.44500667187503,1.1554188058614727,-12.101595230833539
E2,8234,both,1,823.6902160555555,700.69562272,791.3191423380281,762.7831854868421,737.1759399861111,711.31796648,800.7414168428571,736.3487646133333,94.45863648436955,-38.53467872341275
E3,1101,test,0,1042.82057616223,1181.3982732755107,1319.6015004358642,1104.5410076194225,773.9733653653857,760.778470228271,840.2427067574371,971.4996962680552,-353.63818992972233,144.45188464773287
E3,1102,test,0,800.6452975390338,809.4446484031832,895.8203355526431,819.2520002120191,643.5405616589377,676.3461291763097,662.5549239905569,656.9750285958876,-85.36768620477346,-38.38546291204125
E3,1103,test,0,750.8702563245108,727.4580136370886,722.1195956805184,742.6890916802365,630.1193739126446,677.4794785595516,632.632155212434,680.9549237699304,43.981738687140364,0.9626639105894128
